Census year,Block ID,Building address,Area,Name,Business address,Industry (ANZSIC4) code,Sub Theme,Seating type,Number of seats,Longitude,Latitude,Theme,Google Maps Rating
2023,64,54-58 Hardware Lane MELBOURNE VIC 3000,Melbourne (CBD),Max On Hardware,Ground 54-58 Hardware Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,58,144.9612622,-37.81339479,Food & Drink,
2023,64,383-387 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Club Retro,383-387 Lonsdale Street MELBOURNE VIC 3000,4520,Bars and Pubs,Seats - Indoor,60,144.961197,-37.81284394,Food & Drink,
2023,72,262-274 King Street MELBOURNE VIC 3000,Melbourne (CBD),Gangnam Pocha,Pt Lot S2 270 King Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,37,144.9549298,-37.81372382,Food & Drink,
2023,72,535 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),NANA Australia,"Shop J, 535 Little Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,41,144.9560016,-37.81346261,Food & Drink,
2023,73,458-468 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),The Firm Espresso Bar,Ground 460 Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,32,144.9583508,-37.81305654,Food & Drink,
2023,74,301 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),G2 Korean BBQ,301 Elizabeth Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,74,144.9616271,-37.81161115,Food & Drink,
2023,246,111-113 Grattan Street CARLTON VIC 3053,Carlton,Dragon Hot Pot,111-113 Grattan Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,46,144.9657699,-37.80081695,Food & Drink,
2023,76,QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Chatime,15 Red Cape Lane MELBOURNE VIC 3000,4512,Takeaway Food,Seats - Indoor,12,144.9657251,-37.81067862,Food & Drink,
2023,77,Church Manse Wesley Uniting Church 130 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),The Manse,Ground Church Manse Wesley Uniting Church 130 Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,50,144.9681742,-37.80994367,Food & Drink,
2023,81,"Building A, Sir William Angliss Centre 555 La Trobe Street MELBOURNE VIC 3000",Melbourne (CBD),Cafe 555,"Shop 1, Ground 555 La Trobe Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.9527024,-37.81330522,Food & Drink,
2023,82,269-275 William Street MELBOURNE VIC 3000,Melbourne (CBD),Basil With Thyme,Ground 271 William Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,90,144.9564472,-37.81270778,Food & Drink,
2023,83,Northern Guardhouse Royal Mint 318 William Street MELBOURNE VIC 3000,Melbourne (CBD),The Mint Bar & Restaurant,Northern Guardhouse Royal Mint 318 William Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,36,144.9573593,-37.81209006,Food & Drink,
2023,84,Melbourne Sky Apartments 5 Sutherland Street MELBOURNE VIC 3000,Melbourne (CBD),Orange Tea / Bento King,288 Little Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,29,144.9609379,-37.8112754,Food & Drink,
2023,85,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Little Sparrow,"Kiosk 1, Level 1 300 Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,40,144.9628389,-37.81090175,Food & Drink,
2023,354,44-50 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,Flava Korean Bbq,50 Errol Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,70,144.9501318,-37.80414146,Food & Drink,
2023,358,320-322 Victoria Street NORTH MELBOURNE VIC 3051,North Melbourne,Kebab Connection,Ground 320 Victoria Street NORTH MELBOURNE VIC 3051,4512,Takeaway Food,Seats - Indoor,17,144.9554945,-37.80560869,Food & Drink,
2023,360,1-3 Cobden Street NORTH MELBOURNE VIC 3051,North Melbourne,Yeonga,1-3 Cobden Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,150,144.9569225,-37.80560496,Food & Drink,
2023,377,65-67 Flemington Road NORTH MELBOURNE VIC 3051,North Melbourne,New Lanna Thai,65 Flemington Road NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Outdoor,8,144.9540071,-37.79936515,Food & Drink,
2023,410,1-9 Dryburgh Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Sassy Italian Restaurant,1-7 Dryburgh Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Indoor,100,144.9424694,-37.80676864,Food & Drink,
2023,424,297-307 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Warung Agus,Part Ground 305-307 Victoria Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Indoor,60,144.9513761,-37.80564242,Food & Drink,
2023,435,183-185 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Sanhe Congee,Part Ground 185 Victoria Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Indoor,28,144.9554425,-37.80604902,Food & Drink,
2023,440,477 King Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Roslyn Thai Cafe,477 King Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Indoor,45,144.9516843,-37.80886106,Food & Drink,
2023,618,1-9 Powlett Street EAST MELBOURNE VIC 3002,East Melbourne,Route 66 Bar & Grill,150-152 Wellington Parade EAST MELBOURNE VIC 3002,4520,Bars and Pubs,Seats - Indoor,25,144.9848349,-37.81608712,Food & Drink,
2023,620,298-336 Victoria Parade EAST MELBOURNE VIC 3002,East Melbourne,Parade Place,"Shop 5, Ground 320 Victoria Parade EAST MELBOURNE VIC 3002",4511,Cafes and Restaurants,Seats - Indoor,26,144.9822534,-37.80945759,Food & Drink,
2023,724,519-539 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Rosco's @ Chevron,525 St Kilda Road MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Outdoor,45,144.9798706,-37.84555711,Food & Drink,
